Name	gene_id	SAMN31934616	SAMN31934617	SAMN31934618	SAMN31934759	SAMN31934760	SAMN31934761
LOC100684726	LOC100684726	7.28883144714236	7.44821632408553	7.63860089331175	7.60988285192581	7.48745840995247	7.68873777870427
LOC100685702	LOC100685702	3.19059760788603	3.52650218324791	3.47212708378556	3.32758921998581	2.22050474214543	3.41613042063905
ENPP1	ENPP1	6.73726195639554	6.68758664765843	6.46276087344147	6.66622260829509	6.26597532372245	6.59503410742401
LOC119870367	LOC119870367	5.58414181022112	5.24153947215325	5.04995894586509	4.97763230737	5.04570245800847	4.62348002003044
PARD6G	PARD6G	6.62291117310138	6.85431643996797	6.27030755172881	7.00764798724095	7.06280674152355	6.74714908157533
ADNP2	ADNP2	9.82069147859008	9.77222757129756	9.91960490764369	10.1942539825024	10.0244685807519	10.1251825218858
HSBP1L1	HSBP1L1	1.89140503468579	2.05555604165022	3.34756583656782	3.32758921998581	3.34360843839823	3.68085259192567
LOC102154355	LOC102154355	5.52876071059805	6.13862696830071	5.76128300985926	6.05604259804184	6.50277346527524	5.83032016986598
RBFA	RBFA	9.58650772714968	9.52058967474915	9.638155194358	9.65778118816732	9.62209098195296	9.5919993177332
TXNL4A	TXNL4A	9.60335972580219	9.59118074619457	9.75617553886136	10.1185596923789	10.0282665056748	10.1823571535454
SLC66A2	SLC66A2	10.2849203836215	10.229629444585	10.478309155369	10.569480894706	10.7601189145765	10.6938852786568
LOC111091658	LOC111091658	6.3468786733795	6.59639097749086	6.27030755172881	6.42195703611339	6.3330172070856	6.44290669190632
LOC111091673	LOC111091673	4.03178867568039	4.23954191641903	4.78763919195679	4.25388597803093	4.46259201745966	4.80086400370975
LOC106559849	LOC106559849	3.32671163777093	3.97570771321919	2.48275739203635	2.95967516485868	2.22050474214543	4.00446648010686
KCNG2	KCNG2	8.52964548028344	8.64327601055294	8.66138267244702	8.74183007217288	8.68934640545777	8.77293717107561
LOC111091898	LOC111091898	1.89140503468579	3.76851816751195	0	2.95967516485868	2.22050474214543	0
CTDP1	CTDP1	9.46637665796416	9.42443854449276	9.15045933166341	9.09473424624619	8.93571129949184	8.93062627151128
LOC119870433	LOC119870433	3.56557943782047	3.87582913359046	2.48275739203635	3.32758921998581	3.2073104051121	3.68085259192567
NFATC1	NFATC1	5.61105501523181	5.77266826536385	5.30571674424102	5.34152369624086	5.00516636959442	5.3871193754246
LOC119870460	LOC119870460	3.45108358514683	4.82583642822859	3.97148589797494	4.48982406929004	3.46813397506865	3.5545547884867
SALL3	SALL3	7.84260343200219	7.77370392714824	7.6319399138313	6.3637642471216	6.85040744862176	6.74714908157533
LOC119870458	LOC119870458	5.76277270939946	6.33946351761502	6.08765076994424	6.00619071843071	6.36540493770635	5.83032016986598
ATP9B	ATP9B	10.183227283113	10.2584229540247	10.3080463686675	10.2885034263877	10.2515449854275	10.3209607302637
GALR1	GALR1	5.71395168715016	6.53222516445116	5.40281870317529	5.38117698653497	4.68419098983702	5.5614424480041
MBP	MBP	13.5649894590595	14.2204126102431	12.8224641356112	13.0611254893261	12.9932909188342	12.9813784280944
LOC119870510	LOC119870510	4.44469274920221	4.23954191641903	3.97148589797494	2.13413676867024	3.6889451510826	2.89720819130046
LOC102156552	LOC102156552	5.50025198162166	6.74533087647873	5.49379523427784	6.7443222453805	5.23287737829281	6.8448257478307
LOC119869861	LOC119869861	2.20579436242024	2.05555604165022	1.50378587143731	2.73326173104805	2.22050474214543	2.07892292186507
ZNF236	ZNF236	10.6839109727046	10.6697526613575	10.641401085301	10.5424103155326	10.5872497774042	10.4429581107063
LOC111092528	LOC111092528	2.87248373511852	3.2355384883059	2.48275739203635	0	0	3.5545547884867
ZNF516	ZNF516	8.62515373402625	8.61644867790946	8.36465465427763	8.42833524129281	8.50176059107477	8.58379781984982
TSHZ1	TSHZ1	8.73933375217451	9.43324959240514	9.06650077814904	8.3355050009831	8.47973948078587	8.52607081584026
LOC111092553	LOC111092553	5.63747534001453	6.16001638201605	5.52288902639286	4.41538437781283	5.33453500885779	5.05524632337087
ZADH2	ZADH2	8.27582583506597	8.62031183203275	8.23879114859634	8.08241304596062	8.4346624781399	8.61577638819692
CNDP1	CNDP1	7.81971275211161	8.57723729482399	7.23479367218819	6.78922999627429	6.97107442006998	7.10351313158893
ZNF407	ZNF407	11.7866722765302	11.7393672049094	11.7931146517349	11.8096109332208	11.7238514243912	11.7106723700432
LOC111092777	LOC111092777	3.45108358514683	3.76851816751195	0	2.95967516485868	3.0567793222916	2.40596215273557
CNDP2	CNDP2	10.8328126461363	10.8023378252495	10.8814408104539	10.7990755269853	10.9321492006469	10.8448646643623
DIPK1C	DIPK1C	9.12034815413226	9.65659846575311	9.06155232106842	9.68773917807349	9.64370871323771	9.87402201091685
C1H18orf63	C1H18orf63	6.36280138655295	5.28112178596532	6.14491611271429	5.78753438652854	6.38133016402685	4.68506338742802
LOC119863882	LOC119863882	9.22423160578996	8.89043375930875	9.1872712642746	9.21207139256884	9.22541755216588	9.24367236767219
LOC119870698	LOC119870698	3.040290969345	0	2.8924895281708	2.73326173104805	2.22050474214543	0
TIMM21	TIMM21	9.40041184643463	9.34728892532477	9.44837749758088	9.40715892352424	9.22321022142092	9.32813283392559
FBXO15	FBXO15	7.17620378490719	7.55702407566464	7.35291327003882	7.27303456276471	7.29910851037227	7.38905651212083
LOC111092948	LOC111092948	3.19059760788603	3.38834315661665	2.8924895281708	3.97167139336079	2.69840673050282	3.0916669696642
LOC608797	LOC608797	8.32947806637003	8.25327087479295	8.45799269291501	8.41884020112225	8.40770210641755	8.35663492589396
NETO1	NETO1	11.554230512891	11.7033985633592	11.598874173303	11.3284257307839	11.1499886107758	11.0922244099968
CBLN2	CBLN2	11.42842804841	11.1383185260363	11.3907203724013	11.4799289020459	11.2936538647635	11.1804003509653
LOC102152669	LOC102152669	3.32671163777093	0	1.50378587143731	4.87025944499954	3.6889451510826	4.34692148707802
LOC111093237	LOC111093237	0	3.2355384883059	0	3.32758921998581	4.40143287067108	4.26862365476668
LOC102152482	LOC102152482	3.040290969345	3.2355384883059	2.48275739203635	4.48982406929004	3.58275996806139	4.09799702521179
LOC111093261	LOC111093261	4.61390590706837	4.59404771339236	3.88449472199817	5.34152369624086	4.96345831069288	5.3871193754246
LOC102152782	LOC102152782	6.15904490553985	5.85366360667854	5.37117203464226	5.66437598826412	6.39708151688737	6.19028182589899
SOCS6	SOCS6	11.1882026810386	10.944706133745	11.2461014590378	10.7898973753652	10.9793439051294	10.7695733865596
LOC119870699	LOC119870699	0	2.646561419178	0	2.46457901296051	3.0567793222916	3.26300105230088
CD226	CD226	5.96407146457793	4.65557853929195	5.33881557215032	5.9806035537748	6.28303012125377	6.27282627280617
RTTN	RTTN	9.33128578456282	9.32378984018961	9.52227482308395	9.98660067569878	9.76247142528263	9.82356888625815
CCDC102B	CCDC102B	5.24930005139245	5.158959885214	4.68840968946556	4.6280857411694	5.08513064306986	4.62348002003044
LOC100686410	LOC100686410	2.87248373511852	2.05555604165022	1.90834744412231	2.13413676867024	2.22050474214543	2.89720819130046
LOC119870700	LOC119870700	3.19059760788603	2.87067573792509	3.69299447528385	3.6204862713918	3.0567793222916	3.68085259192567
DOK6	DOK6	13.7631203591792	13.7072800281541	13.9183787876021	14.04396403453	13.8321670420969	13.9496846303781
LOC119870703	LOC119870703	4.18293877736886	4.59404771339236	4.27490207160118	4.87025944499954	4.20066770756287	4.00446648010686
LOC119870701	LOC119870701	4.61390590706837	3.97570771321919	4.27490207160118	4.25388597803093	4.04940420381838	4.34692148707802
LOC119870702	LOC119870702	5.52876071059805	5.68685381468693	4.83480661463302	4.87025944499954	4.40143287067108	4.80086400370975
LOC119871240	LOC119871240	4.81247954042355	4.77128622546563	4.92475294945165	5.12504925342354	5.1973348539381	5.10115166806015
TMX3	TMX3	10.9742661511226	10.9454762076069	11.0287968796349	11.2287037234145	11.0244098068143	11.109875037315
LOC106557620	LOC106557620	7.28883144714236	7.37693574523	6.96486634146051	7.14067042695439	7.2565713221478	7.11474648398098
DSEL	DSEL	11.5066518582704	11.0314007449209	11.729019754659	11.4464419394889	11.3709616198331	11.1286982465336
CDH19	CDH19	8.64807456169009	9.13687020314939	8.18974388832944	8.51555171642666	8.41931829799774	8.65092482927104
LOC119871403	LOC119871403	6.66204386334884	6.49903932482624	6.64582258791009	6.12773215759431	6.14058905575669	6.5125061309987
CDH7	CDH7	11.0062973620682	11.839703418117	11.0224444332424	10.5170486369029	10.5357067670126	10.6938852786568
SERPINB8	SERPINB8	4.94530803170861	4.71459207669223	4.27490207160118	3.86383693577895	4.04940420381838	3.68085259192567
KDSR	KDSR	9.83788185148541	10.0204428289207	9.96800897632534	9.96392867456383	9.69558107812402	9.57176285446057
SERPINB5	SERPINB5	7.06380724740132	6.68758664765843	7.46208952585345	7.40392618916356	7.7491522890827	7.79031143303809
VPS4B	VPS4B	10.745175943597	10.7565601960446	10.8299893730418	11.1361324293093	11.0174205848834	11.0073755614679
SERPINB11	SERPINB11	4.94530803170861	4.87839894472905	4.88048064335995	5.30074963523777	4.20066770756287	5.77475050774376
LOC100687530	LOC100687530	2.68255694078846	3.76851816751195	2.48275739203635	0	1.50094596072078	2.67239395043245
LOC111094334	LOC111094334	2.20579436242024	4.06911709358504	3.06064173081637	3.15532866448572	2.22050474214543	2.67239395043245
BCL2	BCL2	7.28883144714236	6.814405413132	7.14407925205942	6.71358785212647	6.96051235347996	6.9738039038327
LOC111094459	LOC111094459	2.46378094879816	1.63445024785067	2.22395327418636	1.70479640004232	2.69840673050282	2.40596215273557
LOC119870706	LOC119870706	5.34859123863242	5.24153947215325	4.63611233653267	3.32758921998581	4.68419098983702	3.90444935230112
LOC111094480	LOC111094480	3.67165294030878	3.65257909031243	3.34756583656782	3.6204862713918	2.22050474214543	3.68085259192567
LOC119870632	LOC119870632	4.2529623829212	4.06911709358504	3.58678333161364	2.73326173104805	3.2073104051121	3.68085259192567
PHLPP1	PHLPP1	10.5267146023791	10.9691468755018	10.5436462337734	10.6487878731074	10.5734529948381	10.7543910275934
LOC119870708	LOC119870708	4.61390590706837	5.28112178596532	4.68840968946556	3.97167139336079	3.96737691934727	4.95880664052467
LOC119870709	LOC119870709	6.24746539335912	6.51572766290461	5.37117203464226	6.19602736621307	6.06372215477814	6.12511843283665
LOC102155763	LOC102155763	4.85812810622961	5.49820414729198	5.08939070830959	5.84538294543022	5.00516636959442	5.34957665304136
