gene_id,SAMN31934616,SAMN31934617,SAMN31934618,SAMN31934759,SAMN31934760,SAMN31934761
gene-SERPINB11|SERPINB11,33,27,31,34,19,50
gene-LOC483954|LOC483954,0,0,0,0,0,6
gene-LOC100687530|LOC100687530,6,12,5,0,2,5
gene-LOC119870707|LOC119870707,0,2,7,0,0,0
gene-LOC111094334|LOC111094334,4,15,8,7,4,5
gene-BCL2|BCL2,172,106,153,92,135,116
gene-LOC111094459|LOC111094459,5,2,4,2,6,4
gene-LOC119870706|LOC119870706,44,35,26,8,27,13
gene-LOC111094480|LOC111094480,13,11,10,10,4,11
gene-LOC119870632|LOC119870632,20,15,12,5,9,11
gene-PHLPP1|PHLPP1,1632,1904,1625,1420,1664,1606
gene-LOC119870708|LOC119870708,26,36,27,13,16,28
gene-LOC119870709|LOC119870709,83,86,44,64,72,64
gene-LOC102155763|LOC102155763,31,42,36,50,34,37
gene-LOC111094618|LOC111094618,20,38,11,23,30,48
gene-LOC106558834|LOC106558834,0,0,0,0,0,0
gene-ZCCHC2|ZCCHC2,849,671,814,346,722,511
gene-LOC111094566|LOC111094566,2,0,0,0,0,4
gene-TNFRSF11A|TNFRSF11A,29,40,20,15,32,33
gene-LOC100687907|LOC100687907,0,0,0,0,14,0
gene-RELCH|RELCH,4129,3265,3967,4048,4881,4190
gene-PPIAP1|PPIAP1,141,132,168,111,148,142
gene-LOC119869845|LOC119869845,2,5,2,2,2,1
gene-LOC102153530|LOC102153530,8,11,9,15,14,10
gene-LOC609896|LOC609896,0,10,8,21,20,18
gene-PIGN|PIGN,1299,986,1337,1378,1484,1177
gene-LOC119870711|LOC119870711,0,0,0,0,0,0
gene-RNF152|RNF152,980,761,831,730,855,680
gene-LOC111094787|LOC111094787,0,4,0,0,5,0
gene-LOC119869959|LOC119869959,0,0,0,0,1,0
gene-LOC111090610|LOC111090610,5,10,0,6,0,8
gene-LOC100688146|LOC100688146,19,7,10,9,15,16
gene-LOC111094796|LOC111094796,37,53,33,28,21,28
gene-CDH20|CDH20,1122,1318,1062,668,928,869
gene-LOC119870714|LOC119870714,39,75,42,33,43,27
gene-LOC119870713|LOC119870713,82,98,62,30,42,46
gene-LOC119870715|LOC119870715,58,65,61,37,53,44
gene-LOC483960|LOC483960,0,0,0,0,8,0
gene-MC4R|MC4R,29,4,15,6,4,16
gene-LOC100688291|LOC100688291,0,2,0,1,0,1
gene-PMAIP1|PMAIP1,0,0,0,0,0,13
gene-LOC119870716|LOC119870716,0,0,2,0,0,0
gene-CCBE1|CCBE1,37,76,92,32,67,36
gene-LOC119870717|LOC119870717,8,13,11,0,0,4
gene-LOC119872244|LOC119872244,8,15,10,0,0,3
gene-GRP|GRP,0,7,9,8,7,10
gene-CPLX4|CPLX4,2,2,0,0,0,9
gene-LMAN1|LMAN1,1791,1440,1749,1610,1996,1713
gene-LOC119870637|LOC119870637,3,0,0,0,0,5
gene-SEC11C|SEC11C,1338,897,1152,1053,1278,1112
gene-LOC610160|LOC610160,58,40,62,40,67,56
gene-ZNF532|ZNF532,4540,3857,4299,2999,3714,2914
gene-LOC102151902|LOC102151902,0,5,0,0,0,0
gene-ALPK2|ALPK2,34,21,24,18,23,24
gene-LOC119870718|LOC119870718,12,10,13,12,14,9
gene-MALT1|MALT1,1380,1156,1150,1189,1471,1291
gene-LOC100684262|LOC100684262,12,10,8,6,10,13
gene-ATP8B1|ATP8B1,72,104,65,46,41,61
gene-LOC111095132|LOC111095132,0,4,5,0,4,0
gene-NEDD4L|NEDD4L,7199,6790,7830,7204,8224,6816
gene-LOC119870720|LOC119870720,19,23,22,13,12,12
gene-LOC119870721|LOC119870721,5,6,6,5,2,6
gene-NARS1|NARS1,6228,4611,6072,5074,5954,5425
gene-FECH|FECH,799,632,788,680,767,669
gene-ONECUT2|ONECUT2,670,361,481,352,522,338
gene-LOC119870722|LOC119870722,53,63,81,26,48,50
gene-ST8SIA3|ST8SIA3,15582,10123,15300,14879,16031,13224
gene-LOC111095155|LOC111095155,2,3,0,0,0,2
gene-LOC111090613|LOC111090613,0,0,0,0,0,0
gene-LOC111090615|LOC111090615,0,0,0,0,0,0
gene-TXNL1|TXNL1,1731,1321,1842,1528,1794,1537
gene-LOC119869865|LOC119869865,3,1,1,0,4,4
gene-WDR7|WDR7,12097,9315,11351,12701,13116,11032
gene-LOC111095146|LOC111095146,27,26,25,24,29,22
gene-LOC612779|LOC612779,14,8,13,9,17,6
